date,open,high,low,close,volume
2020-05-28,9364.95,9509.5,9338.95,9488.0,0
2020-05-29,9422.2,9597.75,9377.9,9568.45,0
2020-06-01,9726.85,9930.8,9712.4,9812.2,0
2020-06-02,9880.85,9995.45,9824.65,9995.1,0
2020-06-03,10108.3,10175.7,10035.85,10068.05,0
2020-06-04,10054.25,10123.65,9944.6,10030.75,0
2020-06-05,10093.8,10177.4,10041.25,10168.2,0
2020-06-08,10326.75,10327.65,10121.1,10175.25,0
2020-06-09,10181.15,10291.1,10022.65,10026.25,0
2020-06-10,10072.6,10147.65,10036.9,10139.4,0
2020-06-11,10094.1,10111.65,9886.0,9910.15,0
2020-06-12,9544.95,9995.7,9544.95,9958.15,0
2020-06-15,9919.35,9942.5,9726.9,9818.05,0
2020-06-16,10014.8,10045.5,9729.0,9900.8,0
2020-06-17,9876.7,10002.9,9834.4,9876.85,0
2020-06-18,9863.25,10110.6,9850.25,10091.25,0
2020-06-19,10119.0,10272.1,10073.05,10254.05,0
2020-06-22,10318.75,10393.35,10277.95,10324.7,0
2020-06-23,10347.95,10484.2,10302.25,10482.75,0
2020-06-24,10529.25,10552.75,10282.2,10320.05,0
2020-06-25,10235.55,10361.15,10195.6,10284.35,0
2020-06-26,10378.9,10409.3,10312.4,10400.85,0
2020-06-29,10311.95,10337.25,10223.95,10315.1,0
2020-06-30,10382.6,10400.7,10267.75,10307.35,0
2020-07-01,10323.8,10446.65,10299.8,10419.45,0
2020-07-02,10493.05,10597.25,10490.1,10563.6,0
2020-07-03,10614.95,10630.8,10563.05,10602.7,0
2020-07-06,10723.85,10810.75,10695.95,10770.05,0
2020-07-07,10802.85,10813.35,10690.1,10787.5,0
2020-07-08,10818.65,10847.7,10677.5,10696.15,0
2020-07-09,10755.55,10836.5,10733.6,10833.45,0
2020-07-10,10764.1,10818.95,10713.0,10771.2,0
2020-07-13,10851.85,10893.45,10756.35,10814.75,0
2020-07-14,10750.85,10750.85,10563.25,10610.15,0
2020-07-15,10701.0,10826.75,10578.85,10637.9,0
2020-07-16,10706.2,10754.35,10595.95,10728.05,0
2020-07-17,10752.0,10932.15,10752.0,10930.8,0
2020-07-20,10999.45,11037.5,10953.4,11027.55,0
2020-07-21,11126.1,11179.1,11113.4,11173.1,0
2020-07-22,11231.2,11231.2,11057.25,11143.65,0
2020-07-23,11135.0,11238.8,11105.1,11234.6,0
2020-07-24,11149.95,11224.25,11090.7,11197.95,0
2020-07-27,11225.0,11225.0,11089.25,11124.5,0
2020-07-28,11154.1,11317.75,11154.1,11292.0,0
2020-07-29,11276.9,11341.05,11150.75,11197.2,0
2020-07-30,11254.3,11299.25,11086.65,11095.15,0
2020-07-31,11139.5,11150.05,11027.0,11090.15,0
2020-08-03,11057.55,11057.55,10882.35,10900.0,0
2020-08-04,10946.65,11110.5,10908.4,11102.5,0
2020-08-05,11155.75,11224.95,11064.9,11119.9,0
2020-08-06,11185.7,11256.15,11130.4,11206.8,0
2020-08-07,11186.65,11231.85,11145.2,11216.9,0
2020-08-10,11270.25,11336.85,11238.35,11274.65,0
2020-08-11,11322.25,11372.85,11299.25,11332.0,0
2020-08-12,11289.0,11321.85,11243.45,11310.75,0
2020-08-13,11334.85,11359.25,11270.6,11312.2,0
2020-08-14,11353.3,11366.1,11112.3,11183.05,0
2020-08-17,11248.9,11266.95,11145.35,11259.65,0
2020-08-18,11259.8,11401.15,11255.4,11391.2,0
2020-08-19,11452.15,11458.6,11394.45,11421.35,0
2020-08-20,11317.45,11359.1,11290.15,11308.3,0
2020-08-21,11409.65,11417.95,11362.4,11378.4,0
2020-08-24,11412.0,11496.6,11412.0,11472.9,0
2020-08-25,11513.1,11525.55,11423.6,11479.35,0
2020-08-26,11512.85,11561.05,11462.35,11551.7,0
2020-08-27,11609.3,11616.5,11542.05,11571.5,0
2020-08-28,11602.95,11686.05,11592.5,11657.1,0
2020-08-31,11777.55,11794.15,11326.6,11341.05,0
2020-09-01,11464.3,11553.05,11367.2,11494.1,0
2020-09-02,11478.55,11554.15,11430.7,11543.1,0
2020-09-03,11566.2,11584.55,11508.3,11535.7,0
2020-09-04,11354.4,11452.0,11303.8,11358.35,0
2020-09-07,11359.6,11379.95,11252.35,11377.0,0
2020-09-08,11378.55,11436.45,11291.65,11294.3,0
2020-09-09,11218.6,11297.85,11185.3,11285.75,0
2020-09-10,11363.3,11463.05,11329.7,11454.35,0
2020-09-11,11447.8,11492.7,11420.25,11454.85,0
2020-09-14,11540.15,11566.25,11383.75,11422.1,0
2020-09-15,11487.2,11535.2,11442.65,11532.15,0
2020-09-16,11538.45,11617.6,11520.15,11600.05,0
2020-09-17,11539.4,11586.65,11498.9,11519.25,0
2020-09-18,11584.1,11584.1,11446.8,11515.95,0
2020-09-21,11503.8,11534.75,11219.9,11221.65,0
2020-09-22,11301.75,11301.75,11085.7,11175.5,0
2020-09-23,11258.75,11258.75,11025.1,11135.9,0
2020-09-24,11011.0,11014.15,10790.85,10821.35,0
2020-09-25,10910.4,11072.2,10856.2,11035.8,0
2020-09-28,11140.85,11238.8,11100.5,11238.35,0
2020-09-29,11288.6,11304.8,11181.55,11222.65,0
2020-09-30,11244.45,11295.2,11184.75,11226.3,0
2020-10-01,11364.45,11428.3,11350.6,11422.4,0
2020-10-05,11487.8,11576.85,11452.75,11508.45,0
2020-10-06,11603.45,11679.4,11565.4,11660.4,0
2020-10-07,11679.25,11762.35,11631.0,11748.7,0
2020-10-08,11835.4,11905.5,11791.7,11833.15,0
2020-10-09,11852.05,11938.0,11806.15,11938.0,0
2020-10-12,11973.55,12020.6,11867.2,11936.2,0
2020-10-13,11934.65,11987.85,11891.8,11925.25,0
2020-10-14,11917.4,11996.3,11822.3,11966.45,0
2020-10-15,12023.45,12023.45,11662.15,11672.55,0
2020-10-16,11727.4,11787.95,11668.45,11770.25,0
2020-10-19,11879.2,11897.6,11820.95,11878.6,0
2020-10-20,11861.0,11948.35,11839.4,11898.7,0
2020-10-21,11958.55,12018.1,11776.25,11933.85,0
2020-10-22,11890.0,11938.3,11824.0,11902.25,0
2020-10-23,11957.9,11974.25,11908.85,11929.8,0
2020-10-26,11937.4,11937.4,11711.95,11776.9,0
2020-10-27,11807.1,11898.7,11725.75,11887.8,0
2020-10-28,11922.6,11929.35,11685.45,11727.35,0
2020-10-29,11633.3,11743.9,11606.75,11670.7,0
2020-10-30,11678.45,11748.15,11536.1,11646.45,0
2020-11-02,11697.35,11725.6,11557.75,11652.75,0
2020-11-03,11734.45,11835.1,11729.85,11807.65,0
2020-11-04,11783.35,11929.2,11756.6,11893.65,0
2020-11-05,12062.4,12130.65,12028.4,12127.6,0
2020-11-06,12156.65,12279.9,12134.95,12261.35,0
2020-11-09,12399.4,12472.7,12367.9,12468.15,0
2020-11-10,12556.4,12642.35,12476.7,12640.25,0
2020-11-11,12680.6,12768.85,12571.95,12757.2,0
2020-11-12,12702.15,12740.85,12625.1,12693.0,0
2020-11-13,12659.7,12735.05,12608.3,12723.1,0
2020-11-14,12823.35,12827.95,12750.85,12767.55,0
2020-11-17,12932.5,12932.5,12797.7,12878.9,0
2020-11-18,12860.1,12948.4,12820.05,12936.1,0
2020-11-19,12839.5,12962.9,12746.45,12760.6,0
2020-11-20,12813.4,12890.95,12730.65,12846.0,0
2020-11-23,12960.3,12967.5,12826.0,12928.15,0
2020-11-24,13002.6,13078.45,12980.45,13075.55,0
2020-11-25,13130.0,13144.65,12834.2,12858.7,0
2020-11-26,12906.45,13017.2,12790.85,13015.05,0
2020-11-27,13012.05,13030.7,12915.65,12942.85,0
2020-12-01,13062.2,13128.2,12963.7,13097.85,0
2020-12-02,13121.4,13127.7,12983.9,13104.15,0
2020-12-03,13215.3,13215.3,13108.25,13136.6,0
2020-12-04,13177.4,13276.9,13152.9,13270.7,0
2020-12-07,13264.85,13366.05,13246.25,13355.2,0
2020-12-08,13393.85,13434.9,13311.6,13389.3,0
2020-12-09,13458.1,13548.55,13453.8,13532.55,0
2020-12-10,13488.5,13503.2,13399.4,13481.55,0
2020-12-11,13512.3,13578.5,13403.25,13505.55,0
2020-12-14,13571.45,13597.4,13473.25,13554.85,0
2020-12-15,13547.2,13588.25,13447.4,13564.5,0
2020-12-16,13663.1,13692.0,13606.5,13672.75,0
2020-12-17,13713.55,13772.8,13678.65,13734.85,0
2020-12-18,13764.4,13771.9,13659.05,13744.1,0
2020-12-21,13741.9,13777.0,13135.1,13283.35,0
2020-12-22,13373.65,13490.8,13193.9,13460.8,0
2020-12-23,13473.5,13618.7,13433.25,13609.15,0
2020-12-24,13672.15,13771.15,13627.4,13740.4,0
2020-12-28,13815.15,13885.3,13812.0,13881.0,0
2020-12-29,13910.35,13967.15,13860.0,13926.9,0
2020-12-30,13980.9,13995.95,13865.6,13975.25,0
2020-12-31,13970.0,14024.4,13941.6,13967.0,0
2021-01-01,13996.1,14049.8,13994.85,14014.8,0
2021-01-04,14104.35,14147.85,13956.6,14143.65,0
2021-01-05,14075.15,14215.2,14049.05,14199.3,0
2021-01-06,14240.95,14241.4,14040.1,14134.05,0
2021-01-07,14253.75,14253.75,14123.65,14148.45,0
2021-01-08,14258.4,14366.85,14224.1,14343.9,0
2021-01-11,14474.05,14496.45,14384.1,14483.05,0
2021-01-12,14473.8,14589.9,14435.95,14574.75,0
2021-01-13,14639.8,14652.7,14436.65,14558.3,0
2021-01-14,14550.05,14617.25,14472.45,14597.5,0
2021-01-15,14594.35,14616.15,14358.8,14434.4,0
2021-01-18,14453.3,14454.9,14224.7,14230.2,0
2021-01-19,14371.65,14545.55,14351.05,14526.6,0
2021-01-20,14538.3,14665.85,14517.55,14622.45,0
2021-01-21,14730.95,14753.4,14519.35,14630.4,0
2021-01-22,14583.4,14619.6,14359.15,14366.8,0
2021-01-25,14477.8,14490.1,14219.4,14247.95,0
2021-01-27,14237.95,14237.95,13929.65,13964.25,0
2021-01-28,13810.4,13897.75,13715.1,13819.75,0
2021-01-29,13946.6,13965.7,13597.85,13660.8,0
2021-02-01,13758.6,14335.45,13662.4,14335.45,0
2021-02-02,14481.1,14730.95,14473.35,14671.2,0
2021-02-03,14754.9,14868.6,14575.35,14783.6,0
2021-02-04,14789.05,14913.0,14714.9,14889.5,0
2021-02-05,14952.6,15014.15,14865.1,14940.85,0
2021-02-08,15064.3,15159.35,15049.7,15129.45,0
2021-02-09,15164.15,15256.1,15065.5,15109.5,0
2021-02-10,15119.05,15168.0,14977.55,15137.8,0
2021-02-11,15073.25,15188.5,15067.35,15176.65,0
2021-02-12,15186.2,15243.1,15081.4,15164.7,0
2021-02-15,15270.3,15338.35,15254.35,15335.8,0
2021-02-16,15371.45,15431.3,15243.35,15317.95,0
2021-02-17,15279.9,15313.5,15171.15,15196.25,0
2021-02-18,15238.7,15249.95,15078.75,15120.2,0
2021-02-19,15074.8,15143.0,14898.4,15003.45,0
2021-02-22,14999.05,15009.7,14636.1,14640.9,0
2021-02-23,14782.25,14853.6,14653.05,14717.8,0
2021-02-24,14729.15,14821.95,14729.15,14820.45,0
2021-02-25,15079.85,15173.75,15071.25,15103.8,0
2021-02-26,14888.6,14919.05,14468.55,14523.15,0
2021-03-01,14702.5,14806.65,14638.9,14784.15,0
2021-03-02,14865.3,14958.95,14761.05,14941.8,0
2021-03-03,15064.4,15271.0,14996.75,15240.5,0
2021-03-04,15026.75,15201.9,14980.25,15087.15,0
2021-03-05,14977.95,15090.95,14862.6,14963.15,0
2021-03-08,15002.45,15110.25,14921.05,14962.85,0
2021-03-09,15049.9,15124.1,14926.1,15098.7,0
2021-03-10,15202.15,15216.75,15101.5,15168.15,0
2021-03-12,15321.15,15332.6,14954.85,15023.95,0
2021-03-15,15048.4,15048.4,14745.95,14920.9,0
2021-03-16,14996.1,15051.15,14890.7,14922.0,0
2021-03-17,14946.55,14954.4,14696.6,14709.25,0
2021-03-18,14855.5,14870.1,14479.35,14583.7,0
2021-03-19,14471.15,14787.4,14350.5,14733.55,0
2021-03-22,14736.3,14763.55,14598.25,14747.15,0
2021-03-23,14768.55,14878.4,14708.55,14807.3,0
2021-03-24,14712.45,14752.15,14535.55,14564.95,0
2021-03-25,14570.9,14570.9,14265.6,14346.4,0
2021-03-26,14506.3,14572.6,14415.35,14518.9,0
2021-03-30,14628.5,14875.3,14620.15,14855.0,0
2021-03-31,14811.85,14811.85,14670.65,14693.05,0
2021-04-01,14798.4,14882.85,14692.75,14865.95,0
2021-04-05,14837.7,14840.5,14460.15,14649.05,0
2021-04-06,14737.0,14778.35,14574.55,14700.8,0
2021-04-07,14716.45,14879.5,14652.15,14808.85,0
2021-04-08,14875.65,14982.45,14821.85,14877.5,0
2021-04-09,14882.65,14917.85,14786.15,14838.05,0
2021-04-12,14644.65,14644.65,14249.25,14349.6,0
2021-04-13,14364.9,14527.9,14277.1,14525.0,0
2021-04-15,14522.4,14596.35,14354.65,14589.4,0
2021-04-16,14599.6,14696.25,14562.9,14590.45,0
2021-04-19,14306.6,14381.6,14192.3,14362.95,0
2021-04-20,14526.7,14526.7,14207.55,14279.55,0
2021-04-22,14219.15,14424.35,14153.95,14398.7,0
2021-04-23,14326.35,14460.6,14274.2,14331.25,0
2021-04-26,14449.45,14556.7,14422.65,14489.05,0
2021-04-27,14493.8,14666.55,14489.15,14657.35,0
2021-04-28,14710.5,14889.45,14698.95,14850.3,0
2021-04-29,14979.0,15043.15,14814.95,14888.6,0
2021-04-30,14747.35,14855.3,14602.35,14617.55,0
2021-05-03,14481.05,14673.3,14417.65,14644.35,0
2021-05-04,14687.25,14722.0,14462.65,14506.85,0
2021-05-05,14604.15,14636.55,14510.0,14635.0,0
2021-05-06,14668.35,14743.3,14611.85,14733.2,0
2021-05-07,14816.85,14862.6,14765.95,14810.8,0
2021-05-10,14928.25,14966.8,14893.0,14949.4,0
2021-05-11,14789.7,14899.45,14774.3,14845.5,0
2021-05-12,14823.55,14823.55,14650.1,14698.75,0
2021-05-14,14749.4,14749.4,14592.15,14683.85,0
2021-05-17,14756.25,14935.45,14726.65,14924.1,0
2021-05-18,15067.2,15137.1,15043.9,15109.4,0
2021-05-19,15058.6,15133.1,15009.6,15019.2,0
2021-05-20,15042.6,15068.5,14885.15,14920.05,0
2021-05-21,14987.8,15189.2,14986.4,15183.55,0
2021-05-24,15211.35,15256.0,15146.5,15184.0,0
2021-05-25,15291.75,15291.75,15163.6,15218.15,0
2021-05-26,15257.05,15319.8,15195.5,15299.7,0
2021-05-27,15323.95,15383.35,15273.35,15370.15,0
2021-05-28,15421.2,15469.15,15395.4,15455.3,0
2021-05-31,15437.75,15604.4,15374.9,15576.0,0
2021-06-01,15629.65,15660.25,15528.35,15568.05,0
2021-06-02,15520.35,15597.15,15460.0,15590.0,0
2021-06-03,15655.55,15703.55,15611.55,15688.9,0
2021-06-04,15712.5,15733.35,15622.5,15670.65,0
2021-06-07,15725.1,15773.0,15679.45,15747.0,0
2021-06-08,15773.9,15775.55,15680.55,15741.85,0
2021-06-09,15766.3,15800.45,15567.7,15640.25,0
2021-06-10,15692.1,15751.25,15649.85,15745.15,0
2021-06-11,15796.45,15834.95,15750.55,15805.1,0
2021-06-14,15791.4,15822.9,15607.75,15809.7,0
2021-06-15,15866.95,15901.2,15846.85,15859.2,0
2021-06-16,15847.5,15880.45,15743.65,15755.7,0
2021-06-17,15648.3,15769.2,15617.9,15681.7,0
2021-06-18,15756.5,15756.5,15451.5,15719.85,0
2021-06-21,15525.85,15764.6,15505.9,15748.6,0
2021-06-22,15840.5,15895.45,15753.35,15765.15,0
2021-06-23,15862.8,15862.8,15674.3,15693.4,0
2021-06-24,15737.3,15821.3,15707.2,15793.7,0
2021-06-25,15839.35,15870.2,15772.55,15847.6,0
2021-06-28,15915.35,15915.35,15792.65,15825.0,0
2021-06-29,15807.5,15835.5,15724.1,15751.4,0
2021-06-30,15776.9,15838.85,15710.05,15730.65,0
2021-07-01,15755.05,15755.05,15667.65,15693.25,0
2021-07-02,15705.85,15737.4,15636.3,15729.0,0
2021-07-05,15793.4,15845.6,15763.7,15838.4,0
2021-07-06,15813.75,15913.95,15801.8,15816.4,0
2021-07-07,15819.6,15892.75,15780.55,15878.65,0
2021-07-08,15855.4,15884.95,15683.4,15728.0,0
2021-07-09,15688.25,15730.55,15633.45,15697.05,0
2021-07-12,15766.8,15788.65,15645.15,15689.5,0
2021-07-13,15794.0,15820.0,15744.8,15807.9,0
2021-07-14,15808.7,15876.95,15764.55,15845.35,0
2021-07-15,15872.15,15952.15,15858.45,15920.7,0
2021-07-16,15958.35,15961.3,15883.25,15923.6,0
2021-07-19,15754.5,15836.8,15707.65,15757.9,0
2021-07-20,15703.95,15725.35,15578.6,15624.5,0
2021-07-22,15736.6,15834.25,15729.25,15827.7,0
2021-07-23,15856.8,15899.5,15769.0,15850.8,0
2021-07-26,15849.3,15893.35,15799.4,15821.45,0
2021-07-27,15860.5,15881.3,15702.0,15747.2,0
2021-07-28,15761.55,15761.55,15514.65,15714.65,0
2021-07-29,15762.7,15816.85,15738.65,15784.85,0
2021-07-30,15800.6,15862.35,15745.85,15773.65,0
2021-08-02,15874.9,15892.5,15838.7,15887.5,0
2021-08-03,15951.55,16146.6,15915.9,16123.4,0
2021-08-04,16195.25,16290.0,16188.55,16253.0,0
2021-08-05,16288.95,16348.45,16211.2,16281.8,0
2021-08-06,16304.4,16336.4,16224.0,16254.7,0
2021-08-09,16281.35,16320.45,16179.25,16254.1,0
2021-08-10,16274.8,16359.2,16203.3,16268.3,0
2021-08-11,16327.3,16337.4,16162.8,16275.1,0
2021-08-12,16303.65,16375.0,16287.15,16361.35,0
2021-08-13,16385.7,16543.2,16385.0,16519.5,0
2021-08-16,16518.4,16588.15,16481.5,16547.05,0
2021-08-17,16545.25,16628.1,16495.8,16605.45,0
2021-08-18,16691.95,16701.25,16537.4,16550.4,0
2021-08-20,16382.5,16509.2,16377.1,16415.65,0
2021-08-23,16592.25,16592.25,16396.2,16488.3,0
2021-08-24,16561.4,16646.45,16496.0,16615.75,0
2021-08-25,16654.0,16711.55,16617.7,16635.4,0
2021-08-26,16627.95,16683.25,16603.55,16631.95,0
2021-08-27,16642.55,16720.75,16566.95,16691.55,0
2021-08-30,16775.85,16951.3,16766.2,16938.7,0
2021-08-31,16947.5,17151.9,16916.7,17131.35,0
2021-09-01,17185.6,17224.95,17055.75,17058.75,0
2021-09-02,17095.4,17245.45,17063.6,17233.85,0
2021-09-03,17262.45,17339.5,17212.55,17320.55,0
2021-09-06,17399.35,17428.9,17345.6,17379.65,0
2021-09-07,17401.55,17436.2,17287.7,17357.45,0
2021-09-08,17375.75,17381.95,17254.5,17370.7,0
2021-09-09,17312.85,17379.3,17303.65,17358.1,0
2021-09-13,17363.55,17377.5,17269.65,17350.7,0
2021-09-14,17420.35,17438.3,17367.15,17382.0,0
2021-09-15,17387.65,17532.6,17387.65,17518.3,0
2021-09-16,17539.2,17644.1,17511.8,17627.55,0
2021-09-17,17709.65,17792.65,17537.85,17602.2,0
2021-09-20,17443.85,17622.3,17363.2,17373.75,0
2021-09-21,17450.5,17577.55,17326.5,17564.1,0
2021-09-22,17580.9,17610.3,17524.5,17548.35,0
2021-09-23,17670.85,17843.25,17647.65,17826.3,0
2021-09-24,17897.45,17947.45,17820.15,17841.55,0
2021-09-27,17932.2,17943.35,17803.05,17855.1,0
2021-09-28,17906.45,17906.45,17576.45,17733.45,0
2021-09-29,17657.95,17781.05,17608.75,17708.55,0
2021-09-30,17718.9,17741.9,17585.4,17608.65,0
2021-10-01,17531.9,17556.95,17453.15,17526.35,0
2021-10-04,17615.55,17750.1,17584.9,17700.5,0
2021-10-05,17661.35,17833.05,17643.3,17829.3,0
2021-10-06,17861.5,17884.5,17614.85,17626.45,0
2021-10-07,17810.55,17857.5,17766.05,17797.15,0
2021-10-08,17886.85,17941.5,17840.5,17907.5,0
2021-10-11,17867.55,18041.2,17843.9,17953.7,0
2021-10-12,17915.8,18005.55,17865.6,18005.35,0
2021-10-13,18097.85,18197.7,18053.9,18165.75,0
2021-10-14,18272.85,18349.25,18249.15,18339.05,0
2021-10-18,18500.1,18542.65,18447.0,18476.25,0
2021-10-19,18602.35,18602.35,18378.15,18427.25,0
2021-10-20,18439.9,18456.9,18209.8,18282.75,0
2021-10-21,18382.7,18382.7,18048.75,18219.6,0
2021-10-22,18230.7,18313.35,18035.05,18111.5,0
2021-10-25,18229.5,18236.65,17970.3,18136.5,0
2021-10-26,18154.5,18308.95,18100.3,18308.95,0
2021-10-27,18295.85,18340.75,18168.1,18181.5,0
2021-10-28,18187.65,18187.65,17800.8,17862.9,0
2021-10-29,17833.05,17915.3,17615.3,17708.8,0
2021-11-01,17783.15,17952.9,17699.0,17945.25,0
2021-11-02,17970.9,18010.85,17848.3,17889.15,0
2021-11-03,17947.95,17987.9,17758.25,17833.0,0
2021-11-04,17935.05,17947.4,17901.9,17918.9,0
2021-11-08,18040.2,18087.4,17836.4,18080.7,0
2021-11-09,18084.35,18112.1,17983.1,18050.85,0
2021-11-10,17973.45,18060.95,17915.1,18010.1,0
2021-11-11,17967.45,17967.45,17799.5,17885.65,0
2021-11-12,17977.6,18122.5,17906.0,18098.65,0
2021-11-15,18140.95,18209.6,18071.6,18092.0,0
2021-11-16,18127.05,18131.95,17959.15,17964.35,0
2021-11-17,17939.35,18022.3,17879.95,17887.2,0
2021-11-18,17890.55,17945.35,17688.85,17745.25,0
2021-11-22,17796.25,17796.25,17281.95,17440.0,0
2021-11-23,17281.75,17553.2,17216.8,17495.1,0
2021-11-24,17550.05,17600.35,17355.65,17357.1,0
2021-11-25,17417.3,17563.85,17352.35,17547.0,0
2021-11-26,17338.75,17344.95,16987.15,17006.55,0
2021-11-29,17055.8,17160.1,16783.95,17039.7,0
2021-11-30,17051.15,17324.45,16934.05,16975.15,0
2021-12-01,17104.4,17212.55,17064.75,17185.95,0
2021-12-02,17183.2,17417.75,17158.3,17401.5,0
2021-12-03,17424.9,17488.3,17181.1,17210.3,0
2021-12-06,17209.05,17210.85,16893.6,16909.3,0
